"observation","y","map_cluster","cluster_1","cluster_2","cluster_3"
1,-2.4415135744347,2,3.65788311274236e-10,0.904917278188159,0.0950827214460523
2,2.72340779154196,1,0.966183434630528,1.78488646860323e-07,0.0338163868808254
3,-3.57326541423689,2,1.17740887528068e-13,0.995546340960735,0.00445365903914733
4,-1.22461261489836,3,6.17094834939386e-07,0.242163261438844,0.757836121466321
5,-3.47340063643931,2,2.41058217602971e-13,0.994124326600902,0.00587567339885658
6,3.37963332277588,1,0.998054219324205,1.64710809261616e-09,0.00194577902868645
7,4.04211587314424,1,0.999894365108387,1.40929617992623e-11,0.000105634877520285
8,-0.910921648552446,3,2.85734627422846e-06,0.117559568252913,0.882437574400812
9,0.158028772404075,3,0.000354892089863255,0.00671005331236277,0.992935054597774
10,3.34541535608118,1,0.997738735359804,2.10584386253214e-09,0.00226126253435269
11,5.76728726937265,1,0.999999946686515,5.78647199289949e-17,5.3313484605365e-08
12,-2.28329252398279,2,1.083760969297e-09,0.859581194620748,0.140418804295491
13,-2.08982577050477,2,3.95770280503669e-09,0.781125063429512,0.218874932612785
14,-2.61581464217366,2,1.08440773759264e-10,0.939301870479924,0.0606981294116355
15,1.68217608051942,3,0.226241907957708,7.45145835182622e-05,0.773683577458774
16,-0.635736453948977,3,1.02359736856654e-05,0.0582361344181154,0.941753629608199
17,-0.461644730360566,3,2.25254503805062e-05,0.0366570060342969,0.963320468515323
18,1.43228223854166,3,0.0887158944916555,0.000176170127384655,0.91110793538096
19,3.34930364668963,1,0.997777012383474,2.04786876392367e-09,0.00222298556865746
20,-3.20738074360197,2,1.62157954021695e-12,0.98774037987922,0.0122596201191582
21,3.60719207055802,1,0.999284292283689,3.21168531992544e-10,0.000715707395142617
22,-3.31999286854851,2,7.24032888691166e-13,0.991015110015465,0.00898488998381131
23,-3.27911330297656,2,9.70350628115062e-13,0.989940943440342,0.0100590565586875
24,-2.50581166873217,2,2.34045125165516e-10,0.919266645193013,0.0807333545729422
25,-3.17733048226961,2,2.01048697981313e-12,0.986682881866838,0.0133171181311513
26,-0.505957462114257,3,1.84458575684414e-05,0.0412803510598953,0.958701203082536
27,-1.65696117482959,2,5.87675708323056e-08,0.516236824309955,0.483763116922474
28,-3.21457940854687,2,1.54016467710426e-12,0.987981135032681,0.0120188649657794
29,-0.179556530043387,3,7.95267714824768e-05,0.0170298706602934,0.982890602568224
30,-0.100190741213562,3,0.000113148236562418,0.0136941767697951,0.986192674993642
31,0.712666307051405,3,0.00408090156920736,0.00143086506229762,0.994488233368495
32,-3.07356440412633,2,4.22047358338578e-12,0.982292373547683,0.0177076264480966
33,3.96236582853295,1,0.999849962324301,2.5003029732094e-11,0.000150037650696134
34,-3.68166047875566,2,5.40731962354061e-14,0.996704448601145,0.00329555139880097
35,3.67572972775368,1,0.999470540610485,1.96251763240346e-10,0.000529459193263192
36,0.0601604404345152,3,0.000230249144722847,0.00879851617503108,0.990971234680246
37,-0.588894486259664,3,1.26694414942032e-05,0.0514709992645455,0.94851633129396
38,0.531496192632572,3,0.00184112458480166,0.00237469046224769,0.995784184952951
39,-1.51839408178679,3,1.29574196764814e-07,0.420311390443142,0.579688479982661
40,4.30655786078977,1,0.999967004285842,2.10545725910054e-12,3.2995712053139e-05
41,-1.53644982353759,3,1.17134551989824e-07,0.432627851821066,0.567372031044382
42,-3.30097612683661,2,8.29704077565699e-13,0.990530340872956,0.00946965912621421
43,3.47172009555499,1,0.998701666631919,8.50108158373013e-10,0.00129833251797255
44,-0.652094780680999,3,9.49921376956952e-06,0.0607894048899175,0.939201095896313
45,-3.05689677784739,2,4.7537682754079e-12,0.981465397507577,0.0185346024876693
46,-4.91435942568001,2,7.68103136719291e-18,0.999893780100437,0.00010621989956305
47,5.17658331201856,1,0.999999282626752,4.04402285911446e-15,7.17373243418881e-07
48,-1.664972436212,2,5.60777751802422e-08,0.521814555168217,0.478185388754008
49,-0.463530401472386,3,2.23349957986924e-05,0.0368431842330451,0.963134480771156
50,2.88407989495715,1,0.983034235192512,5.72059082971842e-08,0.0169657076015799
51,3.24918099880655,1,0.996550550532123,4.20134691378121e-09,0.00344944526653045
52,2.08716654562835,1,0.634734300389325,1.13691386513107e-05,0.365254330472024
53,0.0173956196932517,3,0.000190547175612063,0.00990243019332785,0.98990702263106
54,-1.28630053043433,3,4.49935475479187e-07,0.275118292662153,0.724881257402371
55,-1.64060553441858,2,6.46412242034622e-08,0.50483836299836,0.495161572360416
